Date,longshort,long,short
1926-07-01,-0.0035640000000000003,-0.002739,0.0008250000000000002
1926-07-02,-0.0021119999999999997,0.0014190000000000001,0.003531
1926-07-06,0.003894,0.00264,-0.001254
1926-07-07,-0.01056,-0.00495,0.00561
1926-07-08,-0.0038940000000000003,0.00046200000000000006,0.0043560000000000005
1926-07-09,0.007293000000000001,0.000891,-0.006402000000000001
1926-07-10,-0.0026400000000000004,0.0017820000000000002,0.004422000000000001
1926-07-12,0.003795,0.00495,0.0011550000000000002
1926-07-13,0.0009900000000000002,0.0023760000000000005,0.0013860000000000003
1926-07-14,0.002772,-0.001122,-0.003894
1926-07-15,0.0024089999999999997,-0.00198,-0.004389
1926-07-16,-0.0017819999999999997,0.0021780000000000002,0.00396
1926-07-17,0.006731999999999999,0.005246999999999999,-0.001485
1926-07-19,-0.0014189999999999995,-0.0027719999999999993,-0.0013529999999999998
1926-07-20,-0.0008909999999999994,-0.00627,-0.005379000000000001
1926-07-21,0.0017490000000000001,-0.002409,-0.004158
1926-07-22,-0.0035309999999999994,-0.01221,-0.008679000000000001
1926-07-23,0.0008910000000000001,0.0010890000000000001,0.000198
1926-07-24,0.0018149999999999998,0.001914,9.900000000000005e-05
1926-07-26,-0.00198,0.001518,0.0034980000000000002
1926-07-27,-0.004125,0.002442,0.006567000000000001
1926-07-28,0.004158,0.011121,0.0069630000000000004
1926-07-29,-0.004685999999999999,-0.0062039999999999994,-0.001518
1926-07-30,-0.006171,0.0002640000000000001,0.006435000000000001
1926-07-31,-0.0027719999999999993,0.002805,0.0055769999999999995
1926-08-02,0.005115,0.008316,0.0032010000000000003
1926-08-03,-0.0044220000000000015,0.00039600000000000003,0.004818000000000001
1926-08-04,-0.0003629999999999998,-0.001584,-0.001221
1926-08-05,-0.0007589999999999997,0.0032010000000000003,0.00396
1926-08-06,0.00026400000000000035,0.008349,0.008085
1926-08-07,0.0022770000000000012,0.006105000000000001,0.003828
1926-08-09,0.001881,0.0014190000000000001,-0.000462
1926-08-10,0.0008909999999999977,-0.011517000000000001,-0.012407999999999999
1926-08-11,0.003993000000000001,-0.00198,-0.005973000000000001
1926-08-12,-0.008448000000000002,0.004257,0.012705000000000003
1926-08-13,-0.006402,-9.899999999999998e-05,0.006303
1926-08-14,0.002837999999999999,0.006599999999999999,0.003762
1926-08-16,0.0003629999999999996,0.005808,0.005445
1926-08-17,0.0021779999999999976,-0.006633000000000002,-0.008811
1926-08-18,-0.0015509999999999994,0.004059000000000001,0.00561
1926-08-19,0.0003960000000000005,-0.004817999999999999,-0.005214
1926-08-20,-0.0011879999999999998,-0.002673,-0.0014850000000000002
1926-08-21,0.00046199999999999974,0.006072,0.00561
1926-08-23,-0.0036960000000000014,0.00528,0.008976000000000001
1926-08-24,0.007095,-0.0050490000000000005,-0.012144
1926-08-25,-0.006138,-0.005379,0.000759
1926-08-26,-3.300000000000004e-05,0.009141,0.009174
1926-08-27,-0.0012210000000000003,0.0012209999999999999,0.002442
1926-08-28,0.0019800000000000013,0.004323000000000001,0.002343
1926-08-30,0.0005609999999999999,0.004158,0.0035970000000000004
1926-08-31,-0.0063030000000000004,0.0005279999999999999,0.006831
1926-09-01,0.003993000000000001,0.009933,0.00594
1926-09-02,0.0018150000000000002,3.299999999999998e-05,-0.0017820000000000002
1926-09-03,-0.0056430000000000004,0.0013529999999999998,0.0069960000000000005
1926-09-07,0.0005610000000000003,0.0032010000000000003,0.00264
1926-09-08,0.002606999999999999,-0.005181,-0.007787999999999999
1926-09-09,0.0015840000000000003,0.0025740000000000003,0.00099
1926-09-10,-3.300000000000004e-05,-0.008118,-0.008085
1926-09-11,0.003762,-0.000957,-0.004719
1926-09-13,0.002541,0.002277,-0.00026399999999999997
1926-09-14,-0.003827999999999997,0.005709000000000001,0.009536999999999999
1926-09-15,0.004125,0.0007260000000000001,-0.003399
1926-09-16,-0.0006929999999999996,-0.004059,-0.0033660000000000005
1926-09-17,-0.0002970000000000004,-0.013167000000000002,-0.012870000000000001
1926-09-18,-0.006566999999999998,0.0030690000000000005,0.009635999999999999
1926-09-20,0.0026729999999999983,-0.0056760000000000005,-0.008348999999999999
1926-09-21,-0.004752,0.0005940000000000001,0.005346
1926-09-22,0.0020790000000000006,-0.001287,-0.0033660000000000005
1926-09-23,-0.00046199999999999995,0.0011220000000000002,0.0015840000000000001
1926-09-24,-0.0024089999999999997,0.00495,0.007359
1926-09-25,-0.001089,-0.0010559999999999999,3.3000000000000016e-05
1926-09-27,0.0023430000000000005,0.0030030000000000005,0.00066
1926-09-28,-0.0006600000000000002,-0.0019140000000000003,-0.0012540000000000001
1926-09-29,-9.900000000000013e-05,-0.00231,-0.002211
1926-09-30,9.900000000000013e-05,0.00231,0.002211
1926-10-01,-0.0010229999999999996,0.005445,0.006468
1926-10-02,0.0003299999999999998,-0.0014850000000000002,-0.001815
1926-10-04,-0.0005610000000000007,-0.015972,-0.015411
1926-10-05,0.004322999999999997,-0.010824000000000002,-0.015146999999999999
1926-10-06,-0.005973,-0.013497,-0.007524
1926-10-07,0.0035309999999999994,-0.0030030000000000005,-0.006534
1926-10-08,-0.0015509999999999994,0.006732000000000001,0.008283
1926-10-09,0.0030029999999999987,-0.006105000000000001,-0.009108
1926-10-11,-0.0008579999999999994,-0.008943,-0.008085
1926-10-13,-0.006501,0.00396,0.010461
1926-10-14,-0.001980000000000001,0.011913,0.013893
1926-10-15,0.0017159999999999988,-0.019932,-0.021647999999999997
1926-10-16,-0.0034979999999999994,-0.008481,-0.004983000000000001
