,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19750725,-0.59,-0.35,-0.54,-0.67,-0.84,-0.91
19750728,-1.11,-0.91,-1.16,-0.66,-0.75,-0.63
19750729,-0.83,-0.89,-1.01,-0.61,-0.65,-0.56
19750730,0.49,0.41,0.48,0.94,0.65,0.82
19750731,0.28,0.24,0.4,0.01,0.21,-0.22
19750801,-0.79,-0.73,-0.89,-1.17,-0.87,-1.02
19750804,-1.25,-0.95,-1.04,-0.93,-0.91,-1.03
19750805,-1.54,-1.25,-1.5,-1.39,-0.91,-1.1
19750806,-0.71,-0.34,-0.46,-0.2,0.05,0.16
19750807,-0.17,-0.15,-0.48,-0.38,0,0.17
19750808,-0.65,-0.49,-0.69,-0.33,-0.22,-0.36
19750811,-0.62,-0.27,-0.44,-0.13,0.5,0.93
19750812,0.65,0.68,0.61,0.79,0.59,0.71
19750813,-0.84,-0.67,-0.84,-0.89,-1.16,-1.43
19750814,-0.75,-0.52,-0.48,-0.71,-0.76,-0.31
19750815,0.53,0.33,0.63,0.29,0.66,1.12
19750818,-0.08,-0.1,-0.08,-0.48,-0.16,-0.15
19750819,-1.31,-1.25,-1.54,-1.7,-1.47,-1.63
19750820,-1.8,-1.72,-2.12,-1.5,-2.32,-2
19750821,-0.77,-0.7,-0.64,0.28,-0.07,-0.08
19750822,1.16,0.8,1.05,1.57,1.37,1.59
19750825,0.72,0.64,0.88,0.97,1.15,0.88
19750826,-0.74,-0.61,-0.7,-1.13,-1.05,-1.4
19750827,0.12,0.28,0.4,0.55,0.49,0.58
19750828,1.97,1.73,1.99,2.59,2.26,2.34
19750829,1.13,1.04,1.35,0.95,0.6,0.66
19750902,-0.98,-0.96,-1.2,-1.55,-1.26,-1.93
19750903,-0.14,0.14,0.55,0.31,0.66,0.54
19750904,0.27,0.31,0.23,0.12,0.5,-0.05
19750905,-0.48,-0.17,-0.2,-0.71,-0.58,-0.71
19750908,0.1,0.03,-0.09,0.06,0.16,0.29
19750909,-0.73,-0.69,-0.92,-1.49,-1.48,-1.35
19750910,-1.26,-1.25,-1.66,-1.59,-1.25,-0.87
19750911,-0.23,-0.2,-0.2,-0.35,-0.68,-0.11
19750912,0.06,0,-0.01,-0.36,-0.17,-0.3
19750915,-0.62,-0.49,-0.45,-1,-0.29,-0.58
19750916,-0.74,-0.85,-1,-0.92,-1.02,-0.88
19750917,-0.3,-0.13,-0.01,0.23,0.37,0.21
19750918,0.99,0.92,0.91,1.68,1.62,2.37
19750919,1.8,1.48,1.78,2.79,2.01,2.46
19750922,-0.48,-0.1,-0.3,-0.63,-0.72,-1.09
19750923,-0.28,-0.24,-0.06,-0.11,-0.45,0.18
19750924,0.76,0.69,0.96,0.82,1,1.06
19750925,-0.23,-0.23,-0.1,-0.13,-0.08,-0.2
19750926,0.2,0.11,0.23,0.68,0.5,0.63
19750929,-0.65,-0.57,-0.82,-0.82,-1.02,-1.65
19750930,-1.3,-1.02,-1.42,-1.29,-1.37,-1.48
19751001,-1.01,-1.03,-1.19,-0.84,-0.88,-1.49
19751002,0.08,0,0.42,0.87,0.84,1.21
19751003,1.43,1.05,1.33,2.27,2.33,2.84
19751006,0.32,0.75,0.51,0.93,0.68,1.54
19751007,-0.47,-0.1,-0.18,-0.09,-0.11,-0.1
19751008,0.7,0.5,0.71,1.26,1.15,1.5
19751009,0.18,0.14,0.16,0.69,0.49,0.44
19751010,0.06,-0.06,0.21,0.12,0.12,-0.35
19751013,0.61,0.62,0.99,1.62,1.31,1.51
19751014,0.21,0.29,0.22,0.1,0.09,-0.22
19751015,-0.06,-0.21,-0.07,-0.02,0.04,-0.12
19751016,0.26,0.27,0.29,0.33,0.28,0.03
19751017,-0.57,-0.36,-0.46,-0.54,-0.47,-0.68
19751020,0.41,0.32,0.26,0.87,1.14,1.07
19751021,0.56,0.55,0.3,1.03,1.1,0.63
19751022,0.07,0.26,0.38,0.32,0.34,0.04
19751023,0.51,0.23,0.5,0.54,0.48,0.58
19751024,-0.33,-0.19,-0.5,-1,-1.24,-1.73
19751027,-0.16,-0.14,-0.18,-0.03,-0.08,-0.08
19751028,0.51,0.46,0.65,0.63,0.96,0.83
19751029,-1.05,-1.06,-1.3,-1.45,-1.19,-1.42
19751030,-0.17,-0.1,-0.16,-0.31,0,-0.28
19751031,-0.1,-0.2,0.08,-0.19,-0.09,-0.42
19751103,-0.49,-0.45,-0.55,-0.63,-0.9,-1.15
19751104,-0.03,0.02,0.23,0.61,0.38,0.54
19751105,0.83,0.67,0.73,0.99,0.87,0.83
19751106,0.12,0.57,0.33,0.47,0.72,0.25
19751107,-0.11,0.28,-0.08,0.32,-0.23,-0.24
19751110,-0.38,-0.15,-0.27,0.13,-0.1,0.14
19751111,0.45,0.46,0.42,0.71,0.59,0.71
19751112,0.88,1.04,1.56,1.24,1.56,1.61
19751113,0.11,0.26,0.16,0.03,-0.02,-0.15
19751114,0.07,0.01,0.11,-0.14,-0.12,-0.09
19751117,0.15,0.32,-0.08,0.69,0.43,0.59
19751118,-0.5,-0.31,-0.41,-0.18,-0.31,-0.77
19751119,-0.77,-0.78,-0.83,-0.87,-1.28,-1.05
19751120,-0.23,-0.02,-0.13,-0.33,-0.38,-0.46
19751121,0.03,0.07,0.11,0.16,-0.04,-0.12
19751124,0.1,0.04,0.14,0.31,0.38,0.27
19751125,0.44,0.31,0.46,0.73,0.98,1.14
19751126,0.56,0.41,0.29,0.23,0.33,0.3
19751128,0.29,0.21,0.2,0.29,0.32,0.27
19751201,-0.43,-0.33,-0.45,-0.58,-0.61,-0.58
19751202,-1.55,-1.21,-1.65,-1.66,-1.48,-1.6
19751203,-2.25,-1.89,-2.17,-2.44,-2.17,-1.86
19751204,0,-0.45,-0.3,0.1,0.19,0.26
19751205,-0.27,-0.32,-0.26,-0.71,-0.97,-1.43
19751208,-0.43,-0.32,-0.38,0.04,0.36,0.21
19751209,-0.43,-0.37,-0.74,-0.11,0.16,0.3
19751210,0.43,0.5,0.77,0.92,0.94,1.03
19751211,0.08,0.2,-0.05,-0.24,0.02,-0.53
19751212,0.06,-0.07,-0.16,0.01,0.02,-0.13
19751215,-0.25,-0.19,-0.15,0.16,0.43,0.18
19751216,0.41,0.62,0.66,1.03,0.79,1.23
19751217,0.42,0.31,0.45,0.39,0.21,0.37
19751218,0.68,0.49,0.56,0.29,0.65,0.13
19751219,-0.01,-0.03,-0.05,-0.56,-0.77,-0.7
19751222,-0.63,-0.5,-0.59,-0.72,-0.66,-0.79
19751223,0.28,0.19,0.34,0.63,0.64,0.69
19751224,1,0.78,0.9,0.91,0.76,0.94
19751226,0.78,0.84,0.85,1.04,0.98,0.86
19751229,-0.42,-0.04,0.2,-0.25,-0.15,-0.11
19751230,0.01,-0.26,-0.16,-0.58,-0.4,-0.32
19751231,1.94,1.34,1.46,0.88,0.43,0.52
19760102,1.63,0.89,1.05,1.15,0.67,0.74
19760105,2.26,1.74,1.65,2.22,1.78,1.71
19760106,1.82,1.7,1.57,1.39,1.2,1.08
19760107,0.3,0.43,0.69,0.65,0.42,0.6
19760108,0.43,0.83,0.72,0.77,0.89,0.49
19760109,0.92,0.81,0.94,0.57,0.48,0.28
19760112,1.47,1.18,1.09,1.32,1.29,1.41
19760113,-0.4,-0.48,-0.52,-0.74,-0.81,-0.66
19760114,2.07,1.59,1.83,1.3,1.67,1.66
19760115,0.14,0.01,0.13,-0.61,-0.37,-0.56
19760116,1.18,0.6,0.69,0.31,0.46,0.44
19760119,1.83,1.22,1.24,1.53,1.04,1.32
19760120,0.64,0.87,0.48,0.36,0.55,0.54
19760121,0.31,0.19,0.09,-0.25,-0.46,-0.76
19760122,0.97,0.65,0.5,-0.32,-0.28,-0.22
19760123,1.73,1.34,1.54,0.72,1.1,1.33
19760126,1.08,0.94,0.77,-0.22,0.48,0.56
19760127,-0.17,0.16,0.18,-0.73,-0.45,-0.64
19760128,-0.55,-0.54,-0.4,-0.72,-0.41,-0.4
19760129,1.66,1.46,1.67,1.65,1.66,1.77
19760130,0.78,0.92,0.98,0.78,0.74,0.71
19760202,0.54,0.5,0.47,0.04,0.02,0.21
19760203,0.64,0.68,0.54,0.52,0.07,0.67
19760204,1.6,1.5,1.47,0.85,0.66,0.91
19760205,-0.76,-0.7,-0.97,-0.97,-1.41,-1.44
19760206,-0.63,-0.44,-0.63,-0.98,-0.7,-1.01
19760209,0.9,0.79,1.25,0.61,0.23,0.05
19760210,0.99,0.86,1.01,0.62,0.81,0.86
19760211,0.87,0.87,1.04,0.47,0.32,0.44
19760212,0.56,0.26,0.53,-0.31,-0.42,-0.52
19760213,0.37,0.09,0.26,-0.5,-0.38,-0.54
19760217,0.71,0.13,0.27,-0.37,-0.33,-0.9
19760218,1.72,1.24,1.33,0.67,0.79,0.68
19760219,2.36,1.72,1.8,1.49,1.45,1.67
19760220,1.09,0.71,0.93,0.6,0.79,0.55
19760223,0.21,0.13,0,0,-0.22,-0.52
19760224,1.07,0.63,0.93,0.57,0.46,0.44
19760225,0.18,-0.09,0.15,0.22,-0.09,-0.34
19760226,-1.54,-0.95,-1.32,-1.26,-1.3,-1.8
19760227,-0.78,-0.82,-0.97,-0.59,-0.74,-0.51
19760301,0.59,0.29,0.08,0.55,0.2,0.45
19760302,1.08,1.17,1.17,0.5,0.73,0.39
19760303,-0.17,-0.17,-0.11,-0.63,-0.56,-0.6
19760304,-0.86,-0.73,-0.71,-0.93,-1.04,-0.95
19760305,0.16,0.03,0.22,0.44,0.1,0.07
19760308,0.9,0.82,1.24,0.95,1.02,1.08
19760309,0.23,0.18,-0.15,0.45,0.37,0.21
19760310,0.28,0.22,0.21,0.77,0.3,0.35
19760311,0.25,0.52,0.7,1.15,0.63,1.07
19760312,-0.84,-0.78,-0.91,-0.62,-0.78,-1.05
19760315,-1.2,-1.22,-1.24,-1.37,-1.09,-1.06
19760316,1.02,0.24,0.47,0.82,0.94,1.32
19760317,0.5,0.24,0.37,-0.08,0.1,-0.22
19760318,-0.7,-0.44,-0.58,-0.26,-0.53,-0.25
19760319,0,-0.06,-0.04,0.26,0.04,0.18
19760322,-0.03,-0.08,-0.02,-0.05,0.04,0.19
19760323,0.34,0.66,0.44,1.17,1.2,1.76
19760324,0.74,0.62,0.85,0.98,1.11,1.15
19760325,-0.57,-0.38,-0.5,-0.42,-0.61,-0.55
19760326,0.63,0.27,0.4,0.25,0.17,-0.03
19760329,-0.24,-0.29,-0.28,-0.33,-0.42,-0.39
19760330,-0.57,-0.54,-0.37,-0.33,-0.33,-0.5
19760331,0.59,0.43,0.34,0.52,0.41,0.95
19760401,-0.24,0.01,-0.04,-0.56,-0.41,-0.47
19760402,0.01,0.07,0.14,-0.1,-0.01,0.15
19760405,0.84,0.9,1.16,1.28,1.12,1.29
19760406,0.21,0.11,-0.07,0.11,0.01,-0.24
19760407,-1.4,-1.05,-1.37,-1.06,-1.16,-1.19
19760408,-1.41,-1.16,-1.41,-1.05,-0.89,-0.94
19760409,-1.17,-1.03,-1.26,-1.25,-1.25,-0.76
19760412,-0.42,-0.33,-0.48,-0.24,0.12,-0.36
19760413,0.01,0.07,-0.07,0.52,0.7,0.88
19760414,-0.24,-0.21,-0.15,-0.55,-0.46,-0.88
19760415,0.42,0.17,0.3,0.29,0.37,0.4
19760419,0.8,0.6,0.73,0.44,0.66,0.81
19760420,1.51,1.4,1.54,1.56,1.5,1.45
19760421,0.33,0.66,0.37,-0.05,0.6,0.3
19760422,0.27,0.13,0.06,-0.45,-0.05,-0.3
19760423,-0.41,-0.39,-0.32,-0.6,-0.53,-0.85
19760426,0.02,0.07,0.03,0.13,0.05,0.14
19760427,-0.76,-0.45,-0.55,-0.73,-0.44,-0.48
19760428,-0.16,-0.06,0.06,0.18,0.29,0.2
19760429,0.2,0.14,0.18,0.11,0.17,-0.27
19760430,0.07,-0.14,-0.13,-0.38,-0.24,-0.62
19760503,-1.12,-0.79,-0.97,-0.99,-0.71,-0.82
19760504,0.27,0.32,0.23,0.46,0.39,0.88
19760505,-0.23,-0.13,-0.24,-0.61,-0.37,-0.55
19760506,-0.03,0.14,0.35,0.44,0.15,0.48
19760507,0.63,0.67,0.7,0.55,0.61,1.03
19760510,0.86,0.98,1.04,1.1,1.19,1.44
19760511,0.2,0.22,0.27,-0.26,-0.04,-0.15
19760512,-0.08,-0.01,0.02,-0.21,-0.25,-0.08
19760513,-0.23,-0.29,-0.29,-0.46,-0.56,-0.63
19760514,-0.63,-0.39,-0.47,-0.75,-0.75,-0.8
19760517,-0.53,-0.4,-0.36,-0.65,-0.21,-0.14
19760518,0.1,0.05,-0.13,-0.01,0.07,0.28
19760519,-0.02,-0.08,-0.15,-0.08,-0.18,0.1
19760520,0.39,0.4,0.57,0.36,0.26,1.18
19760521,-0.31,-0.31,-0.15,-0.38,-0.42,-0.76
19760524,-1.75,-1.44,-1.75,-1.64,-1.72,-1.62
19760525,-0.76,-0.7,-0.69,-0.38,0,0.16
19760526,-0.12,-0.01,0.14,-0.1,0.04,-0.1
19760527,-0.61,-0.59,-0.38,0.1,0.03,-0.14
19760528,0.78,0.51,0.74,0.75,0.74,0.81
19760601,-0.2,-0.25,-0.31,0.04,-0.3,-0.34
19760602,0.16,0.02,0.2,0.26,0.11,0.55
19760603,-0.19,-0.09,0.07,0.04,-0.11,-0.04
19760604,-0.83,-0.74,-0.75,-0.63,-0.83,-1.02
19760607,-0.82,-0.79,-1.01,-0.48,-0.54,-0.36
19760608,-0.09,-0.06,-0.08,0.13,0.25,0.15
19760609,0.1,-0.01,0,-0.1,-0.12,0.03
19760610,0.61,0.64,0.61,0.93,0.72,0.9
19760611,1.05,0.8,0.95,0.95,1.02,1.55
19760614,1.05,0.9,0.75,0.98,1.2,0.91
19760615,-0.08,0.03,-0.17,-0.32,-0.31,-0.59
19760616,0.54,0.37,0.65,0.66,0.44,0.7
19760617,1.23,0.95,1.08,1.18,1.65,1.53
19760618,0.27,0.48,0.25,0.2,0.23,0.11
19760621,0.31,0.18,0.37,0.14,0.3,0.69
19760622,-0.6,-0.36,-0.39,-0.65,-0.58,-0.83
19760623,-0.33,-0.21,-0.27,-0.22,-0.33,-0.05
19760624,0.63,0.62,0.67,0.74,0.77,0.4
19760625,0.25,0.42,0.39,0.19,0.01,-0.09
19760628,0.13,-0.08,-0.11,-0.09,-0.21,-0.31
19760629,0.51,0.17,0.21,0.56,0.27,0.5
19760630,0.73,0.51,0.46,0.78,0.48,0.36
19760701,-0.58,-0.02,-0.24,-0.42,-0.52,-0.92
19760702,0.66,0.37,0.52,0.45,0.51,0.51
19760706,-0.17,0.16,-0.15,-0.65,-0.49,-0.44
19760707,0.35,0.31,0.17,0.16,0.25,0.35
19760708,0.44,0.37,0.29,0.37,0.07,0.14
19760709,0.83,0.8,0.77,1.2,0.67,0.99
19760712,0.75,0.69,0.43,1.04,0.77,0.78
19760713,-0.03,-0.13,0.02,-0.18,-0.09,-0.32
19760714,0.57,0.37,0.52,0.38,0.21,0.24
19760715,-0.18,-0.11,-0.16,-0.65,-0.58,-0.68
19760716,-0.29,-0.21,-0.45,-0.52,-0.4,-0.53
19760719,-0.34,-0.18,-0.61,-0.16,-0.19,-0.38
19760720,-0.97,-0.7,-0.69,-0.66,-0.5,-0.65
19760721,0.15,0.12,0.11,0.26,0.04,0.06
19760722,0.06,0.09,0.17,-0.06,0.13,0.23
19760723,0.17,0.14,0.12,0.07,0.16,0.19
19760726,-0.28,-0.08,-0.27,-0.24,-0.12,0.06
19760727,-0.68,-0.31,-0.57,-0.66,-0.28,-0.58
19760728,-0.51,-0.5,-0.63,-0.18,-0.45,-0.36
19760729,0,-0.14,-0.29,0.15,-0.25,-0.14
19760730,0.15,0.17,0.17,0.62,0.3,0.53
19760802,-0.32,0.05,-0.27,-0.05,-0.09,-0.19
19760803,0.6,0.4,0.44,1.24,0.86,0.97
19760804,0.15,0.28,0.24,0.48,0.11,0.26
19760805,-0.25,-0.23,-0.25,-0.25,-0.34,-0.56
19760806,0.06,-0.02,0,-0.01,0.1,-0.09
19760809,-0.49,-0.15,-0.33,-0.39,-0.04,-0.27
19760810,0.4,0.38,0.48,0.87,0.71,0.91
19760811,-0.42,0.04,-0.25,-0.13,-0.18,-0.3
19760812,-0.11,-0.08,-0.13,0.06,0.04,0.16
19760813,0.12,0.06,0.15,0.09,0.07,0.05
19760816,-0.04,0.16,0.08,0.15,0.21,0.16
19760817,0.05,0.14,0.05,0.46,0.38,0.31
19760818,-0.34,-0.07,-0.28,-0.22,-0.02,-0.29
19760819,-1.3,-1.1,-1.39,-1.44,-0.99,-1.15
19760820,-0.77,-0.59,-0.75,-0.95,-0.87,-0.97
19760823,-0.81,-0.67,-0.72,-0.36,-0.39,-0.37
19760824,-0.51,-0.24,-0.41,-0.62,-0.51,-0.74
19760825,0.31,0.17,0.17,0.94,0.75,0.86
19760826,-0.28,-0.12,-0.21,-0.53,-0.72,-0.65
19760827,0.21,-0.05,0.07,0.21,0.02,0.15
19760830,0.18,0.23,0.24,0.51,0.49,0.67
19760831,0.57,0.45,0.5,0.81,0.65,0.77
19760901,0.74,0.64,1.05,1.13,0.96,1.13
19760902,-0.01,0.2,0.21,-0.18,0.02,-0.02
19760903,0.67,0.24,0.45,0.57,0.37,0.37
19760907,0.41,0.42,0.47,0.62,0.66,0.69
19760908,-0.05,0.09,0.29,-0.15,-0.02,-0.18
19760909,-0.26,-0.16,-0.37,-0.59,-0.33,-0.49
19760910,0.24,0.33,0.34,0.19,0.32,0.21
19760913,-0.31,-0.07,-0.12,-0.3,-0.18,-0.35
19760914,-0.27,-0.25,-0.17,-0.33,-0.26,-0.28
19760915,-0.12,0.06,0.12,0.01,0.22,0.32
19760916,0.61,0.42,0.48,0.68,0.81,1.15
19760917,0.82,0.71,0.66,0.89,0.93,0.92
19760920,0.23,0.29,0.18,0.41,0.04,0.12
19760921,0.91,0.83,0.62,1.53,1.16,1.4
19760922,0.07,0.16,0.23,-0.14,-0.18,-0.47
19760923,-0.33,-0.15,-0.16,-0.57,-0.27,-0.58
19760924,0.1,0.09,0.23,0,-0.13,-0.1
19760927,0.34,0.1,0.46,0.26,0.3,0.51
19760928,-1.15,-0.79,-0.95,-1.2,-1.02,-1.18
19760929,-0.38,-0.44,-0.46,-0.38,-0.57,-0.52
19760930,-0.12,-0.05,-0.15,-0.39,-0.24,0.08
19761001,-0.69,-0.54,-0.75,-1.02,-0.76,-1.06
19761004,-0.11,-0.07,-0.13,-0.1,-0.21,-0.13
19761005,-0.94,-0.74,-0.72,-0.84,-0.79,-0.62
19761006,-0.74,-0.69,-0.71,-0.67,-0.54,-0.15
19761007,0.5,0.48,0.6,0.55,0.54,0.69
19761008,-0.47,-0.34,-0.43,-0.81,-0.8,-0.94
19761011,-1.2,-0.98,-1.08,-1.12,-0.85,-0.89
19761012,-0.55,-0.44,-0.93,-0.5,-0.52,-1.07
19761013,0.49,0.26,0.55,1.56,1.22,1.09
19761014,-0.68,-0.42,-0.73,-1.03,-1.1,-1.33
19761015,0.29,0.47,0.53,0.1,0.16,0.03
19761018,0.51,0.28,0.48,0.72,0.51,0.59
19761019,0.04,-0.05,0.02,-0.04,-0.06,0
19761020,0.35,0.24,0.19,0.34,0.35,0.14
19761021,-0.58,-0.11,-0.31,-0.64,-0.72,-1.06
19761022,-0.54,-0.41,-0.71,-0.86,-0.45,-0.96
19761025,0,0.12,0.06,-0.05,0.14,0.16
19761026,0.57,0.47,0.59,0.83,0.84,1.06
19761027,0.32,0.29,0.39,0.34,0.54,0.74
19761028,-0.02,0.07,-0.1,0,-0.08,-0.15
19761029,0.82,0.68,0.85,1.32,1.28,1.28
19761101,0.28,0.25,0.32,0.5,0.2,0.18
19761103,-0.88,-0.84,-1.03,-1.02,-1.12,-1.28
19761104,1.72,0.95,1.29,1.6,0.85,0.39
19761105,-0.34,-0.17,-0.46,-1,-0.78,-1.8
19761108,-0.95,-0.76,-0.83,-1.18,-1.01,-1.26
19761109,-0.39,-0.48,-0.57,-0.37,-0.2,-0.37
19761110,-0.19,-0.16,-0.33,-0.77,-0.52,-0.36
19761111,0.33,0.1,0.34,0.59,0.53,1.07
19761112,-0.02,-0.03,0.08,-0.23,-0.07,-0.56
19761115,0.19,0.21,0.18,0.51,0.46,0.72
19761116,0.41,0.43,0.48,0.51,0,0.38
19761117,0.46,0.52,0.89,0.78,0.63,0.65
19761118,1.04,0.94,1.37,1.64,1.16,1.29
19761119,0.26,0.47,0.48,0.25,0.3,-0.05
19761122,0.49,0.59,0.48,0.83,0.57,0.71
19761123,-0.04,-0.03,-0.16,-0.54,-0.3,-0.5
19761124,0.94,0.43,0.7,0.46,0.38,0.62
19761126,0.9,0.5,0.8,0.47,0.61,0.89
19761129,-0.25,-0.01,-0.27,-0.69,-0.48,-0.68
19761130,0.02,-0.02,-0.08,-0.17,-0.4,-0.33
19761201,0.7,0.35,0.78,0.71,0.45,0.33
19761202,0.15,0.24,0.22,-0.25,-0.09,-0.55
19761203,0.64,0.49,0.36,0.5,0.49,0.67
19761206,1.15,0.7,0.91,0.71,0.72,0.87
19761207,0.28,0.49,0.28,-0.04,0.04,-0.03
19761208,0.71,0.46,0.79,0.44,0.55,0.55
19761209,0.97,0.92,0.82,0.62,0.86,0.3
19761210,0.77,0.59,0.54,0.22,0.3,0.11
19761213,0.27,0.55,0.27,0.01,0.05,0.04
19761214,0.29,0.45,0.09,0.6,0.26,0.51
19761215,0.22,0.24,0.25,0.3,0.07,-0.07
19761216,-0.18,0.13,-0.01,-0.22,-0.31,-0.3
19761217,-0.05,-0.07,0.01,-0.55,-0.43,-0.47
19761220,-0.59,-0.16,-0.54,-0.68,-0.51,-0.55
19761221,0.25,0.19,0.13,0.36,0.34,0.69
19761222,0.36,0.62,0.56,0.51,0.63,0.33
19761223,0,-0.05,0.13,-0.17,-0.07,0.24
19761227,0.87,0.59,0.81,0.92,0.79,1.46
19761228,0.68,0.54,0.52,0.45,0.62,0.76
19761229,0.12,0.18,0.11,-0.28,-0.24,-0.48
19761230,1.06,0.68,0.82,0.73,0.41,0.55
19761231,1.49,1,1.2,0.65,0.62,0.44
19770103,0.52,0.43,0.23,-0.4,-0.3,-0.45
19770104,-0.27,-0.08,-0.22,-1.14,-0.95,-1.15
19770105,-0.45,-0.28,-0.31,-1.11,-0.68,-0.75
19770106,0.81,0.71,0.69,0.3,0.06,0.14
19770107,0.6,0.55,0.7,0.08,0.05,0.02
19770110,0.28,0.15,0.2,0.1,0.06,0.23
19770111,-0.81,-0.6,-0.86,-0.95,-0.82,-1.05
19770112,-0.43,-0.43,-0.47,-0.46,-0.75,-0.7
19770113,1.08,0.81,1.2,0.99,0.67,0.85
19770114,0.47,0.56,0.63,-0.08,0.08,-0.22
19770117,0.05,0.11,0.13,-0.26,-0.16,-0.28
19770118,-0.03,-0.07,-0.02,-0.22,-0.3,-0.35
19770119,0.86,0.78,1.05,0.55,0.3,0.58
19770120,-0.31,-0.04,-0.54,-0.82,-0.5,-1.02
19770121,0.78,0.47,0.47,0.34,0.29,0.43
19770124,0.29,0.11,0.24,0.17,0.12,-0.14
19770125,0.42,0.32,0.14,-0.14,0.21,-0.26
19770126,-0.32,-0.22,-0.37,-0.84,-0.63,-0.68
19770127,-0.3,-0.41,-0.58,-0.61,-0.49,-0.67
19770128,-0.25,-0.11,0.01,-0.07,0.03,0.14
19770131,-0.48,-0.3,-0.54,-0.23,-0.02,0.26
19770201,0.58,0.54,0.6,0.38,0.35,0.69
19770202,0.24,0.14,0.19,-0.24,0,-0.21
19770203,-0.25,-0.27,0.04,-0.35,-0.42,-0.45
19770204,0.38,0.53,0.57,0.25,0.09,0.15
19770207,0.14,0.08,0.12,0.19,0.01,0.08
19770208,0.06,-0.07,-0.06,-0.16,-0.24,-0.35
19770209,-0.7,-0.42,-0.66,-0.87,-0.79,-0.96
19770210,0.37,0.25,0.28,0.31,0.08,0.04
19770211,-0.37,-0.37,-0.52,-0.42,-0.46,-0.65
19770214,0.08,0.07,-0.08,0.17,0.54,0.62
19770215,0.42,0.09,0.18,0.34,0.38,0.29
19770216,0.22,0.27,0.35,0.56,0.6,0.24
19770217,-0.38,-0.24,-0.26,-0.3,-0.6,-0.59
19770218,-0.09,-0.01,-0.1,-0.18,-0.14,-0.47
19770222,-0.27,-0.16,-0.25,-0.38,-0.24,0.37
19770223,-0.23,-0.16,-0.21,-0.32,-0.3,-0.27
19770224,-0.74,-0.62,-0.76,-0.69,-0.49,-0.64
19770225,-0.01,-0.12,-0.14,-0.22,-0.15,-0.12
19770228,-0.11,-0.16,-0.18,0.16,0.21,0.36
19770301,0.66,0.65,0.71,0.85,0.52,1.24
19770302,0,-0.08,0.02,-0.34,-0.18,-0.28
19770303,0.32,0.18,0.35,0.59,0.49,0.45
19770304,0.37,0.47,0.61,0.58,0.23,0.37
19770307,0.34,0.02,0.12,0.18,0.06,0.18
19770308,-0.21,0,0.04,-0.3,-0.36,-0.4
19770309,-0.56,-0.37,-0.47,-0.76,-0.69,-0.75
19770310,0.44,0.23,0.58,0.34,0.37,0.71
19770311,0.17,0.23,0.32,0.31,0.02,0.03
19770314,0.27,0.29,0.26,0.76,0.61,0.78
19770315,0.21,0.31,0.24,0.53,0.54,0.42
19770316,0.07,0.21,0.27,0.3,0.32,0.09
19770317,-0.14,0.04,0.16,0.02,-0.05,-0.17
19770318,0.18,0.11,0.17,-0.19,-0.23,-0.28
19770321,-0.3,-0.18,-0.3,-0.54,-0.44,-0.47
19770322,-0.25,0.1,-0.13,-0.19,-0.29,-0.19
19770323,-0.31,-0.4,-0.42,-0.66,-0.51,-1.14
19770324,-0.27,-0.34,-0.21,-0.34,-0.33,-0.66
19770325,-0.19,-0.12,-0.34,-0.63,-0.66,-0.6
19770328,-0.45,-0.42,-0.63,-0.28,-0.24,0.1
19770329,0.41,0.31,0.29,0.55,0.5,0.72
19770330,-0.77,-0.67,-0.91,-0.94,-0.96,-1.33
19770331,0.08,-0.21,-0.11,-0.05,-0.11,-0.18
19770401,0.41,0.46,0.7,0.81,0.74,0.86
19770404,-0.72,-0.49,-0.7,-0.87,-0.9,-0.96
19770405,-0.58,-0.42,-0.58,-0.33,-0.19,-0.23
19770406,0.07,0.11,0.06,-0.17,-0.05,-0.08
19770407,0.2,0.12,0.09,0.4,0.33,0.38
19770411,0.24,0.19,0.21,0.59,0.42,0.63
19770412,0.88,0.95,0.94,1.5,1.02,1.4
19770413,0.12,0.23,0.35,0.39,0.01,-0.12
19770414,0.82,0.74,1,0.98,0.89,0.78
19770415,0.39,0.08,0.14,0.06,0.04,0.02
19770418,-0.02,-0.15,-0.09,-0.1,-0.22,-0.7
19770419,0.08,-0.02,0.13,-0.25,-0.31,-0.44
19770420,0.87,0.55,0.53,0.57,0.38,0.2
19770421,-0.45,-0.11,-0.45,-0.63,-0.5,-0.87
19770422,-0.77,-0.5,-1.01,-1.11,-1.15,-1.4
19770425,-1.11,-0.97,-1.17,-0.94,-1.17,-1.44
19770426,-0.2,-0.13,-0.25,0.02,-0.18,0.11
19770427,0.88,0.65,0.69,1.08,0.75,0.98
19770428,0.16,0.13,0.27,0.46,0.29,0.09
19770429,0.41,0.39,0.4,0.39,0.36,0.11
19770502,0.43,0.24,0.44,0.5,0.42,0.73
19770503,0.54,0.35,0.41,0.55,0.59,0.42
19770504,0.42,0.5,0.47,0.5,0.8,0.48
19770505,0.31,0.33,0.29,0.14,0.34,0.32
19770506,-0.1,0,0.05,-0.34,-0.36,-0.59
19770509,-0.2,0.01,-0.13,-0.35,-0.12,-0.22
19770510,0.22,0.21,0.39,0.56,0.17,0.37
19770511,-0.18,-0.04,-0.29,-0.51,-0.42,-0.77
19770512,0.11,0.04,0.14,0.15,-0.05,-0.06
