,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19631126,3.15,3.2,2.79,4.7,3.99,4.06
19631127,0.36,-0.12,0.35,-0.04,-0.28,-0.12
19631129,2.07,1.48,1.69,1.63,1.27,1.37
19631202,-0.02,0.6,0.14,0.08,0.56,0.81
19631203,-0.09,-0.22,-0.12,-0.33,0.01,-0.02
19631204,0.23,0.81,0.27,0.36,0.41,0.04
19631205,0.06,0.02,-0.2,0.67,0.76,0.53
19631206,-0.17,0.03,-0.3,-0.3,-0.24,-0.48
19631209,-0.15,-0.25,0.04,-0.24,0.02,-0.21
19631210,0.02,-0.24,0.15,-0.05,0.02,0.23
19631211,-0.08,-0.19,-0.26,-0.03,-0.03,-0.39
19631212,-0.27,-0.09,0,0.09,-0.02,0.03
19631213,0.19,-0.14,0.29,0.52,0.09,0.09
19631216,-0.17,-0.21,-0.06,0.37,0.29,0.32
19631217,-0.14,0.04,-0.08,0.61,0.26,0.86
19631218,-0.35,-0.2,-0.4,0.28,-0.06,-0.48
19631219,-0.55,-0.34,-0.46,-0.41,-0.11,-0.5
19631220,-0.29,-0.49,-0.36,-0.15,-0.03,-0.29
19631223,-0.15,-0.12,-0.7,-0.4,-0.51,-0.78
19631224,0.29,0.22,0.45,0.26,-0.1,0.6
19631226,0.8,0.46,0.45,0.53,0.27,0.69
19631227,0.24,0.42,0.1,0.28,0.1,0.18
19631230,-0.6,-0.08,-0.15,-0.24,0.18,0.3
19631231,1.07,0.51,1.42,0.56,0.54,0.56
19640102,1.71,1.03,1.35,1.22,0.23,0.78
19640103,0.61,0.4,0.38,0.39,0.28,0.01
19640106,0.19,0.47,0.26,0.55,0.3,0.02
19640107,0.45,0.51,0.11,0.2,0.25,-0.27
19640108,0.34,0.6,0.27,-0.02,0.34,0.53
19640109,-0.06,0.29,0.1,0,0.08,0.75
19640110,-0.21,0.01,0.03,-0.13,-0.02,-0.08
19640113,0.25,-0.03,0.17,0.34,-0.21,-0.08
19640114,-0.12,0.38,0.1,0.69,0.12,0.13
19640115,0.05,0.1,-0.27,0.17,0.17,0.48
19640116,0.33,-0.29,-0.16,-0.33,0.06,-0.22
19640117,0.3,0.29,0.26,-0.28,-0.05,0.08
19640120,-0.45,-0.04,-0.03,-0.89,0.2,-0.47
19640121,-0.32,0.11,0.11,0.37,0.49,0.16
19640122,0.65,0,-0.05,0.36,0.52,0.48
19640123,-0.25,0.15,0.48,0.07,0.07,0.16
19640124,0.5,0.26,0.31,0.06,0,0.03
19640127,-0.38,-0.65,-0.46,0.32,0.08,-0.28
19640128,-0.06,-0.3,-0.09,0.04,0.23,-0.18
19640129,-0.5,-0.46,-0.56,-0.4,-0.54,-0.6
19640130,-0.14,0.18,0.25,-0.79,-0.08,0.5
19640131,-0.03,0,0.23,0.24,0.3,0.68
19640203,0.19,0.16,-0.05,0.29,0,-0.06
19640204,-0.37,-0.24,-0.47,-0.05,0.01,-0.16
19640205,0.05,-0.02,0.05,-0.15,-0.05,-0.18
19640206,0.29,0.31,0.27,0.21,0.18,0.32
19640207,0.17,0.55,0.34,0.56,0.23,0.56
19640210,-0.09,0.07,-0.03,-0.36,-0.04,-0.16
19640211,0.25,0.14,0.46,0.21,0.33,0.42
19640212,0.37,0.08,0.39,0.3,0.38,0.21
19640213,0.13,-0.17,0.25,0.04,0.04,0.19
19640214,0.27,0.05,-0.34,-0.09,-0.22,0.13
19640217,0.14,0.34,0.33,-0.02,0.16,-0.04
19640218,-0.21,-0.13,-0.17,-0.02,0.11,-0.05
19640219,-0.09,0.08,0.43,0.17,0.09,0.12
19640220,0.32,0.31,0.29,0.9,-0.18,0.19
19640224,0.23,0.08,0.12,0.05,0.19,0.04
19640225,-0.01,-0.16,-0.06,-0.08,0,0.16
19640226,0.67,0.3,0.65,0.24,0.15,0.5
19640227,-0.05,-0.25,-0.16,-0.39,-0.19,-0.36
19640228,0.37,0.11,0.23,0.32,0.13,0.25
19640302,0.28,0.43,0.24,0.62,0.08,0.25
19640303,-0.11,0.3,-0.33,0,0.35,0.4
19640304,0.08,-0.19,-0.31,0.23,-0.26,-0.28
19640305,0.09,0.16,0.12,0.02,-0.08,-0.01
19640306,0.85,0.74,0.51,0.18,0.21,0.49
19640309,0.28,-0.09,0.23,0.36,-0.29,0.3
