,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19360518,-0.05,-0.4,-0.68,-0.02,-0.39,-0.99
19360519,-2.25,-2.56,-3.18,-1.39,-2.24,-3.07
19360520,0.2,0.42,0.4,0.5,0.57,1.4
19360521,-0.12,0.29,-0.16,-0.02,-0.25,-0.43
19360522,0.83,0.59,0.8,0.4,1.01,0.91
19360523,1.05,1.24,1.45,0.39,0.76,1.26
19360525,0.3,-0.2,-0.57,-0.13,0.29,-0.01
19360526,0.24,1.2,2.04,0.76,1.42,1.62
19360527,0.36,0.32,0.9,0.16,0.02,-0.38
19360528,-0.56,-0.22,-0.89,-0.32,-0.45,-1.21
19360529,0.72,0.31,0.69,0.58,0.61,0.85
19360601,-0.07,0.26,-0.12,0.14,-0.09,-0.13
19360602,0.08,-0.44,-0.5,0.01,-0.14,-0.54
19360603,-0.52,-0.1,-0.09,-0.5,0.06,-0.64
19360604,-0.88,-1.21,-1.31,-0.91,-1.26,-1.53
19360605,-0.03,-0.73,-0.34,0.28,-0.3,0.03
19360606,0.36,0.36,1.04,0.21,0.5,0.58
19360608,0.58,1.01,0.84,1.02,0.88,0.99
19360609,0.66,1,0.53,0.93,0.95,0.98
19360610,0.49,0.41,1.17,0.15,0.53,0.61
19360611,0.58,0.46,1.17,0.9,1.23,1.48
19360612,-0.76,-0.25,-1.12,-0.45,-1.1,-1.04
19360613,0.08,0.36,-0.02,0.74,0.59,0.53
19360615,0.05,0.48,0.09,0,0.13,-0.16
19360616,0.38,0.45,0.92,1.25,0.81,1.4
19360617,0.11,0.05,0.17,-0.06,-0.25,-0.12
19360618,0.55,-0.08,-0.08,0.23,0.3,0.25
19360619,-0.85,-1.22,-1.06,-0.55,-0.58,-0.74
19360620,0.29,0.19,0.53,0.14,0.41,0.57
19360622,0.51,1.06,0.72,0.42,1.04,1.35
19360623,0.16,-0.4,-0.83,-0.09,-0.39,-0.6
19360624,0.61,1.04,0.69,-0.08,0.88,1.53
19360625,-1.77,-1.18,-0.61,-0.55,-0.74,-1.87
19360626,-0.52,-0.38,-0.67,-0.42,-0.56,0.15
19360627,-0.33,0.23,-0.04,0,0.15,0.17
19360629,0,-0.32,-0.79,-0.14,-0.4,-0.41
19360630,-0.7,-0.44,-0.35,-0.23,-0.08,0.09
19360701,-0.18,-0.24,-0.2,0.64,0.16,0.32
19360702,-0.35,-0.18,-0.46,-0.29,0.02,-0.73
19360703,0.52,0.76,0.69,0.17,0.78,1.09
19360706,0.01,-0.37,-0.69,-0.19,-0.51,-0.85
19360707,-1.36,-1.09,-1.32,-0.32,-0.81,-1.38
19360708,1.01,0.3,0.65,0.49,0.63,0.73
19360709,1.98,1.61,1.59,0.78,1.02,2.14
19360710,2.3,2.03,2.14,0.87,1.95,1.89
19360711,1.06,1.22,1.28,0.25,0.54,0.71
19360713,0.42,0.58,0.46,0.23,0.28,0.26
19360714,1.46,0.61,1.98,0.32,1.22,1.2
19360715,0.37,-0.04,-0.2,0.24,-0.12,0.02
19360716,0.11,0.41,0.55,0.12,-0.02,0.36
19360717,-0.15,0.83,0.63,0.12,0.35,0.36
19360718,0.85,0.5,0.14,0.41,0.54,0.7
19360720,0.28,0.48,-0.14,0.09,0.29,1.01
19360721,1.03,0.11,0.27,0.15,0.57,0.72
19360722,-0.03,-0.64,-1.14,-0.29,-0.49,-0.33
19360723,1.15,0.9,1.05,0.27,0.36,0.2
19360724,0.15,-0.13,0.78,-0.19,-0.16,-0.47
19360725,0.25,0.59,0.4,0.25,0.67,0.9
19360727,0.73,-0.06,0.63,0.41,0.86,0.96
19360728,-0.4,0.04,-0.24,-0.32,0.08,-0.29
19360729,-0.93,-0.49,-0.07,-0.29,-0.69,-1.12
19360730,1.16,0.74,0.31,0.14,0.3,0.85
19360731,0.1,-0.71,-0.14,-0.41,-0.84,-0.99
19360801,-0.13,0.06,-0.19,-0.05,-0.02,0.24
19360803,-0.35,-0.04,0.05,0.03,0.5,-0.33
19360804,-0.65,0.03,0.01,-0.07,0.01,0.04
19360805,-0.24,-0.32,0.19,-0.16,-0.42,-1.07
19360806,0.09,0.6,1.09,0.08,0.44,0.32
19360807,0.89,1.61,1.6,0.42,1.32,1.55
19360808,0.19,0.32,0.75,0.66,0.66,1.02
19360810,-0.53,-0.57,-0.81,0.09,-0.28,-0.15
19360811,-0.19,-0.64,-0.85,-0.04,-0.6,-1.06
19360812,0.38,0.64,0.71,0.25,0.41,0.84
19360813,0.68,-0.27,-0.43,-0.18,-0.31,-0.47
19360814,-0.88,-0.95,-0.78,-0.67,-1.23,-1.44
19360815,0.23,0.43,-0.08,0.41,-0.01,0.35
19360817,-0.49,-0.14,-0.11,-0.22,-0.59,-0.99
19360818,0.01,0.49,0.03,-0.09,0.28,0.41
19360819,0.23,0.69,1.14,0.16,0.6,0.39
19360820,-0.13,0.09,-0.54,-0.51,-0.4,-1.02
19360821,-1.65,-3.36,-3.12,-1.77,-2.72,-3.75
19360822,0.35,1.26,1.27,0.45,0.84,1.56
19360824,0.58,0.42,0.74,0.41,0.84,1.04
19360825,0.88,0.32,0.37,0.33,0.34,0.3
19360826,-0.6,-0.78,-0.57,0.02,-0.8,-0.87
19360827,1.43,1.64,1.57,0.86,1.8,2.39
19360828,0.64,0.52,0.53,0.15,0.35,0.53
19360829,0.49,0.5,0.83,-0.01,0.11,0.47
19360831,0.71,0.21,-0.1,0.32,0.08,0.37
19360901,0.24,-0.07,-0.14,0.02,-0.31,0.02
19360902,0.43,0.88,1.44,0.42,0.27,0.43
19360903,0.14,0.02,0.08,-0.27,-0.26,-0.08
19360904,0.42,0.93,0.91,0.48,0.67,0.56
19360905,0.93,1.04,0.96,0.55,0.6,0.49
19360908,0.31,0.69,0.15,0.67,0.98,1.03
19360909,0.07,-0.05,-0.21,-0.47,-0.55,-0.54
19360910,1.02,0.25,0.05,0.09,0.04,0.08
19360911,0.51,-0.5,-0.23,-0.18,-0.11,-0.22
19360912,-0.25,-0.27,-0.17,-0.24,-0.29,-0.25
19360914,-0.39,-0.48,-0.83,-0.33,-0.63,-0.51
19360915,-0.21,-0.55,-0.28,-0.3,-0.18,-0.08
19360916,-0.79,-0.29,-0.98,-0.74,-1.11,-0.93
19360917,0.16,0.37,0.54,0.29,0.85,0.81
19360918,0.9,1.31,1.78,0.62,0.89,1.13
19360919,0.79,1.01,0.87,0.4,0.65,0.77
19360921,0.3,0.38,0.76,0.45,0.18,-0.24
19360922,-0.01,-0.27,0.18,0.04,0.29,0.34
19360923,-0.45,-0.53,-0.51,-0.38,-0.3,-0.26
19360924,0.02,0.1,-0.23,0.11,0.05,0.13
19360925,-1.37,-1.6,-1.76,-1.06,-1.4,-1.87
19360926,1.09,1.68,1.28,0.6,0.83,1.36
19360928,0.48,0.34,1.23,0.34,0.37,0.09
19360929,0.14,0,-0.37,-0.3,-0.22,-0.13
19360930,-0.31,-0.56,-0.25,-0.22,-0.52,-0.47
19361001,0.14,0.5,0.5,0.16,0.1,0.15
19361002,2.01,2.38,2.67,0.94,1.81,2.23
19361003,1.04,1.1,0.94,0.68,0.81,1.33
19361005,0.49,0.16,-0.23,0.01,0.18,0.06
19361006,0.76,0.22,0.55,0.98,0.53,0.86
19361007,-0.29,-0.37,-0.22,0.5,0.36,0.09
19361008,0.59,0.28,0.52,0.56,0.47,0.48
19361009,0.65,0.79,0.49,0.77,0.4,0.22
19361010,1.36,0.16,0.45,0.81,0.54,0.25
19361013,-0.49,-0.41,-0.92,0.29,-0.1,-0.51
19361014,-0.42,-0.18,-0.08,-0.3,-0.27,-0.26
19361015,-0.26,0.03,0.4,-0.17,-0.3,0.37
19361016,1.4,1.2,1.82,0.59,0.96,1.35
19361017,1.14,0.71,0.31,0.25,0.31,0.96
19361019,-0.33,-0.31,0.04,0.1,0.15,0.22
19361020,-0.71,-0.79,-1.21,0.31,-0.03,-0.54
19361021,0.34,0.32,0.65,0.47,0.47,-0.04
19361022,-0.95,-0.99,-1.23,-1.03,-0.64,-0.5
19361023,0.68,0.47,0.58,0.41,0.42,0.13
19361024,0.36,0.08,0.14,0.26,0.06,0.07
19361026,-2.97,-2.37,-2.15,-2.25,-2.11,-2.74
19361027,1.91,1.64,1.4,1.39,1.45,1.49
19361028,0.67,0.06,0.57,0.08,0.1,0.23
19361029,0.93,1.08,0.88,0.89,1.04,1.76
19361030,-0.24,-0.43,-0.56,-0.1,0.21,0.18
19361031,-0.21,-0.25,-0.29,0.16,0.07,0.02
19361102,-0.2,-0.8,0.42,0.07,-0.38,-0.4
19361104,2.14,2.29,3,0.96,1.31,2.65
19361105,0.53,1.94,1.45,1.24,1.22,0.78
19361106,0.01,-0.25,0.96,-0.97,-0.32,-0.97
19361107,1.55,1.54,1.72,1.2,1.18,1.41
19361109,1.68,0.79,1.38,0.64,0.41,0.1
19361110,0.21,-0.07,0.08,-0.24,-0.16,-0.37
19361112,-1.23,-1.01,0.03,-0.99,-0.62,-1.17
19361113,-1.61,-0.51,-0.68,-0.57,-0.78,-0.91
19361114,0.45,0.61,-0.4,-0.27,-0.24,-0.87
19361116,1.68,1.88,2.15,1.56,1.19,1.55
19361117,2.69,1.63,1.87,1.1,1.4,1.33
19361118,-1.09,-0.53,-0.89,-0.34,-0.2,-0.66
19361119,-0.79,-0.89,-0.99,-0.14,-0.54,-1.09
19361120,-1.42,-1.12,-1.36,-1.23,-0.82,-0.89
19361121,1.34,1.35,0.68,0.26,0.85,0.71
19361123,-2.04,-2.76,-2.03,-1.94,-1.74,-2.7
19361124,1.33,1.49,1.85,0.92,1.44,1.9
19361125,0.27,0.25,1.11,0.18,-0.13,-0.52
19361127,2.58,2.53,2.11,1.1,1.41,1.76
19361128,0.9,1.31,0.63,0.01,0.06,0.32
19361130,-0.02,0.17,-0.54,-0.56,-0.25,-0.55
19361201,0.56,-0.56,-0.03,-0.39,-0.58,-0.79
19361202,-0.2,-0.47,-1.58,-0.77,-0.72,-1.3
19361203,0.8,0.41,0.47,0.31,0.47,0.68
19361204,-0.54,-0.35,0.2,0.44,0.31,-0.36
19361205,0.85,0.41,0.19,0.3,-0.05,0.24
19361207,-0.43,-0.29,-0.3,-0.82,-0.51,-0.85
19361208,0.64,0.38,0.3,-0.03,0.08,0.31
19361209,1.53,0.9,0.31,0.29,0.28,0.6
19361210,1.13,1.81,1.07,0.31,0.47,1.38
19361211,1.16,0.75,0.08,0.08,-0.46,0
19361212,0.46,0.6,0.3,0.36,0,0.33
19361214,0.97,0.61,0.29,1.16,0.68,0.85
19361215,0,-0.34,0.49,-0.26,-0.06,-0.16
19361216,-1.08,-0.35,-0.57,-0.01,-0.11,-0.38
19361217,-0.11,0.22,-0.16,-0.52,-0.47,-0.49
19361218,-1.74,-1.38,-1.44,-1.27,-0.8,-1.15
19361219,-0.91,-1.39,-1.73,-0.87,-0.96,-0.77
19361221,-1.49,-0.46,-0.78,-1.34,-1.3,-0.85
19361222,1.07,1.21,1.22,1.16,0.81,1.82
19361223,1.34,1.12,0.96,1.02,1.12,0.71
19361224,0.47,0.51,0.72,0.52,0.38,-0.07
19361228,-1.77,-0.63,-1.71,-0.62,-0.61,-0.74
19361229,-0.26,-0.18,0.29,0.86,0.2,0.04
19361230,3.22,2.44,1.67,2.42,1.57,1.97
19361231,0.09,0.48,-0.12,-0.08,-0.42,-0.3
19370102,-0.64,-0.39,-0.62,-0.92,-0.7,-1.08
19370104,0.14,-0.27,-0.93,-0.14,-0.62,-0.39
19370105,0.75,1.47,1.1,1.22,0.73,0.69
19370106,0.46,0.27,0.05,0.36,0.25,-0.2
19370107,2.83,2.04,2.31,1.62,1.75,2.06
19370108,0.92,1.27,0.59,0.22,0.41,0.28
19370109,0.43,0.37,0.32,-0.12,-0.08,0.01
19370111,1.39,0.34,1.38,-0.15,0.36,1
19370112,0.59,0.05,0.36,-0.16,-0.06,0.26
19370113,0.59,0.59,0.21,0.63,0.04,0.25
19370114,0.99,0.41,0.54,0.45,0.11,-0.16
19370115,0.54,1.18,0.56,-0.01,0.32,0.31
19370116,1.11,1.01,0.66,0.53,0.54,0.77
19370118,-0.71,-0.02,-0.41,-0.45,-0.33,-0.44
19370119,-1.28,-0.98,-1.18,-0.57,-0.65,-0.89
19370120,2.32,1.55,1.62,0.91,0.9,1.42
19370121,1.67,0.39,0.74,0.19,0.3,1.43
19370122,-0.13,-0.11,0.12,-0.46,-0.54,-0.43
19370123,0.31,0.08,-0.37,-0.13,0.49,-0.2
19370125,-0.98,-0.91,-1.25,-0.75,-0.41,-1.09
19370126,-2.09,-1.8,-2.18,-1.32,-1.2,-1.72
19370127,1.01,0.76,1.25,0.78,0.41,0.84
19370128,0.24,0.81,0.21,-0.14,0.01,0.07
19370129,0.52,0.35,1.44,0.95,0.45,0.52
19370130,0.58,0.29,0.68,0.11,0.42,0.61
19370201,0.37,0.17,0.47,-0.08,0.2,0.61
19370202,0.2,0.26,0.39,0.21,0.66,1.21
19370203,0.21,0.82,1.22,0.63,0.42,0.99
19370204,0.03,0.31,-0.1,0.56,0.18,-0.61
19370205,-1.91,-1.57,-1.6,-1.17,-1.32,-1.65
19370206,1.9,1.23,2.34,0.5,0.81,1.16
19370208,1.43,0.71,1.18,0,0.49,0.72
19370209,-0.39,0.09,-0.47,-0.36,-0.29,-0.4
19370210,1.11,0.79,0.79,1,0.58,0.8
19370211,0.23,-0.1,-0.27,1.28,0.37,-0.26
19370213,0.39,0.32,0.21,-0.26,-0.26,0.1
19370215,-0.35,-0.83,-0.47,-0.68,-0.63,-1.03
19370216,-0.26,0.01,0.22,-0.1,-0.01,0.81
19370217,0.09,-0.08,-0.06,-0.16,-0.22,0.09
19370218,0.43,0.46,0.04,0,0.44,0.25
19370219,0.3,0.71,0.39,0.04,0.63,0.87
19370220,-0.45,0.12,0.24,-0.38,0.08,-0.47
19370223,-1.78,-2.44,-2.33,-1.61,-1.64,-2.38
19370224,0.67,0.61,0.59,0.27,0.22,0.62
19370225,0.38,0.6,0.6,-0.18,-0.24,-0.04
19370226,0.42,0.34,1.37,0.09,0.3,0.48
19370227,0.03,-0.1,0.29,0.51,0.19,0.25
19370301,-0.23,0.18,0.55,-0.02,0.23,0.44
19370302,0.76,1.14,1.06,1.28,0.65,1.31
19370303,0.57,0.77,0.67,0.28,1.53,1.59
19370304,-0.31,-0.89,-0.48,-0.8,-0.42,-0.86
19370305,0.52,0.42,1.41,0.68,0.7,1.79
19370306,0.37,0.34,0.39,0.15,0.32,0.68
19370308,-0.56,-0.73,-0.48,-0.76,-0.37,-0.08
19370309,-0.25,0.02,-0.23,-0.82,0.29,0.74
19370310,-0.16,0.74,0.66,0.28,0.47,1.13
19370311,-0.74,-1.66,-1.95,-0.76,-0.89,-1.49
19370312,-0.15,0,0.28,-0.29,-0.44,-0.3
19370313,0.2,0.06,-0.06,0.2,-0.19,-0.58
19370315,-0.4,0.01,0.19,-0.14,-0.78,-1.02
19370316,1.04,0.46,1.21,0.08,0.51,0.73
19370317,0.23,-0.16,0.03,-0.52,-0.12,-0.72
19370318,-1.86,-2.17,-2.83,-1.13,-2.04,-2.85
19370319,-0.03,0.37,-0.11,-0.32,0.11,-0.14
19370320,0.15,-0.29,0.05,0.02,-0.32,-0.34
19370322,-2.51,-3,-4.1,-1.51,-2.73,-4.19
19370323,0.51,1.03,2.36,0.61,1.27,2.65
19370324,0.97,0.64,1.31,0.59,0.83,1.58
19370325,-0.36,0.12,-0.05,-0.14,-0.03,-0.04
19370327,0.33,0.52,1.05,0.16,0.38,0.53
19370329,0.03,-0.25,-0.23,-0.36,-0.43,-0.67
19370330,0.61,0.5,1.26,0.88,1.16,2.81
19370331,0.06,0.14,0.23,-0.06,0.38,0.3
19370401,-0.83,-0.72,-1.09,-0.68,-0.62,-1.74
19370402,-0.89,-1.79,-2.52,-0.89,-1.05,-2.14
19370403,0.45,0.87,1.18,0.38,0.28,0.66
19370405,0.51,0.48,0.51,0.26,0.47,0.46
19370406,-0.48,-0.61,-1.4,-0.4,-0.53,-1.43
19370407,-2.24,-3.09,-4.65,-1.66,-3.16,-5.01
19370408,-0.07,-0.14,0.39,-0.25,0.16,1.5
19370409,0.15,0.73,0.97,0.22,0.57,0.35
19370410,0.94,0.34,0.01,-0.14,-0.26,0.05
19370412,-0.37,-0.22,0.41,0.12,0.75,0.82
19370413,1.7,1.03,2.03,0.44,1.31,1.85
19370414,0.14,0.31,0.2,0.08,-0.01,0.69
19370415,-0.29,-0.56,-0.28,-0.05,-0.39,-0.84
19370416,-0.41,-0.66,-0.74,-0.31,-0.21,-1.17
19370417,-0.14,1.4,-0.32,-0.18,-0.35,-0.41
19370419,0.22,-0.19,0.14,0.23,0.37,1.07
19370420,-0.26,0.41,0.21,0.31,0.42,-0.11
19370421,0.91,0.39,0.46,1.11,0.91,1.62
19370422,-0.5,-0.98,-1.06,-1.34,-1.17,-1.16
19370423,-1.21,-1.68,-1.82,-1.02,-1.65,-2.09
19370424,-0.61,-0.94,-1.93,-0.42,-1.11,-1.27
19370426,-3.06,-3.74,-5.79,-2.21,-3.17,-5.43
19370427,-0.23,0.68,1.31,0.71,1.44,2.54
19370428,-3.94,-4,-5.29,-2.35,-2.47,-4.87
19370429,0.27,0.69,0.95,0.17,0.28,0.63
19370430,2.79,2.78,4.69,1.8,2.82,3.58
19370501,0.53,1.43,1.04,0.36,0.1,-0.28
19370503,0.03,-0.02,0.43,0.36,0.28,0.01
19370504,1.11,1.13,1.17,1.31,0.95,2.1
19370505,-0.95,-0.48,-0.86,-0.42,-0.9,-1.11
19370506,0,-0.05,-0.2,0.31,0.44,1.42
19370507,0.52,0.53,0.77,-0.35,0.03,-0.06
19370508,-0.18,-0.28,-0.49,-0.1,-0.29,-0.66
19370510,-1.4,-1.64,-2.32,-1.27,-2.01,-3.06
19370511,-0.49,-0.41,-0.39,-0.28,0.16,0.08
19370512,-0.21,-0.15,-0.45,-0.38,-0.13,-0.45
19370513,-4.04,-4.46,-5.63,-2.04,-3.01,-4.82
19370514,0.32,0.68,1.67,0.48,1.14,1.63
19370515,0.37,0.98,0.31,0,0.44,0.38
19370517,-0.97,-1.17,-0.54,-0.76,-1.31,-1.73
19370518,-0.41,0.5,1.28,0.72,0.95,2.08
19370519,0.73,0.36,0.07,-0.33,0.1,0
19370520,1.79,1.99,3.11,1.67,2.28,2.92
19370521,0.5,0.67,0.15,0.5,0.16,-0.01
19370522,0.96,1.4,1.23,1.22,0.83,1.21
19370524,0.43,-0.1,0.04,0.29,-0.27,0.23
19370525,-0.72,-0.62,-1.01,-1.06,-0.94,-1.45
19370526,-0.63,-0.37,-0.68,-0.11,-0.33,0.03
19370527,-0.97,-0.46,-0.22,0.01,0.25,-0.25
19370528,0.59,0.43,0.24,0.08,-0.04,0.34
19370601,-2.23,-2.24,-3.19,-1.28,-2,0.67
19370602,-0.08,0.5,0.44,0.31,0.85,0.79
19370603,-0.05,0.2,0.15,0.08,0.31,-0.18
19370604,0.44,0.75,2.07,0.4,1.25,1.82
19370605,0.24,0.61,0.62,0.1,0.08,0.32
19370607,-0.12,-0.31,-0.82,-0.43,-0.5,-0.62
19370608,0.1,-0.03,0.45,0.08,0.38,0.7
19370609,-0.23,-0.44,-0.46,-1.16,-0.34,-0.25
19370610,-0.35,-0.75,-0.38,-0.13,-0.47,-0.59
19370611,-1.58,-1.11,-2.08,-1.32,-1.17,-1.48
19370612,-0.75,-0.82,-1.64,-0.66,-0.77,-1.01
19370614,-3.53,-3.19,-3.89,-2.08,-2.41,-2.61
19370615,1,1.11,1.35,0.77,0.94,1.47
19370616,-1.39,-1.17,-1.01,-1.05,-0.63,-1.39
19370617,-0.63,-0.31,-0.2,0.64,0.96,1.34
19370618,1.4,1.4,0.62,0.67,0.79,0.67
19370619,0.36,-0.02,0.19,-0.01,-0.23,-0.48
19370621,-1.05,-0.71,-1.12,-0.74,-0.62,-0.86
19370622,-0.31,0.3,0.64,0.37,0.4,-2.26
19370623,0.43,0.08,0.83,0.57,0.5,1.17
19370624,0.17,0.56,0.27,0.13,0.38,0.93
19370625,-0.2,-0.05,-0.67,-0.21,-0.58,-0.57
19370626,-0.23,-0.82,-1.19,-0.72,-0.99,-0.94
19370628,-2.31,-1.63,-2.24,-1.31,-1.37,-1.9
19370629,-0.49,-0.09,0.09,-0.09,0.36,0.31
19370630,1.11,1.26,2.28,1.29,1.8,2.18
19370701,1.06,0.86,1.23,1.19,0.33,0.71
19370702,1.94,1.44,1.61,0.75,1.17,1.51
19370706,3.78,2.71,4.67,3.48,2.39,3.62
19370707,2.52,1.56,1.65,1.32,0.88,0.2
19370708,1.02,0.63,0.85,0.14,0.08,0.55
19370709,0.39,0.46,-0.4,-0.92,0.01,-0.08
19370710,-0.3,-0.1,0.06,-0.14,-0.36,-0.21
19370712,1.48,1.02,2.11,0.8,1.36,1.71
19370713,-0.75,-0.27,-0.78,-1.12,-0.37,-0.24
19370714,-0.44,0.1,-0.38,-0.25,0.46,-0.14
19370715,-0.29,0.21,-0.47,0.27,0.48,0.63
19370716,-0.33,-0.41,-0.67,-0.19,-0.08,-0.57
19370717,-0.03,0.13,0.21,0.07,-0.09,0.46
19370719,1.08,0.8,0.72,2.09,1.1,1.09
19370720,1.04,0.5,0.6,2.06,0.55,0.88
19370721,-0.21,-0.06,-0.78,-0.51,-0.34,-1.01
19370722,0.42,0.19,0.6,0.33,0.22,0.43
19370723,-0.12,-0.05,0.09,0.35,0.26,0.17
19370724,0.37,0.22,0.03,1.48,0.46,0.51
19370726,0.19,-0.08,0.1,-0.02,-0.29,-0.17
19370727,0.01,-0.17,-0.67,-0.31,-0.04,-0.32
19370728,-1.31,-0.51,-0.99,-1.8,-0.81,-1.36
19370729,-0.56,-0.22,-0.24,-0.89,-0.15,-0.02
19370730,-0.46,-0.44,-0.49,0.48,0.03,0.59
19370731,0.16,0.84,1.98,1.26,0.47,0.95
19370802,0.74,0.33,0.54,0.78,-0.36,0.57
19370803,-0.3,-0.42,-0.49,-1.01,-0.37,-0.49
19370804,0.16,0.48,0.88,0.41,0.35,0.52
19370805,0.04,-0.45,0.29,-0.49,-0.52,-0.27
19370806,-0.79,-0.26,-0.55,-0.55,-0.22,-0.37
19370807,0.27,0.27,0.67,1.04,0.21,1.14
19370809,0.36,0.22,0.43,0.5,0.3,0.19
19370810,-0.75,-0.08,-0.46,0.13,-0.14,-0.45
19370811,-0.08,0.33,-0.61,-0.07,0.01,-0.1
19370812,0.59,-0.11,0.6,0.46,0.46,0.6
19370813,0.68,0.45,1.09,1.11,0.73,0.71
19370814,0.61,0.46,0.51,0.25,0.38,0.09
19370816,-0.34,-0.12,-1.21,-0.95,-0.31,-0.91
19370817,0.07,-0.03,-0.38,-0.71,-0.39,-0.01
19370818,-0.23,-0.36,-0.54,-0.63,-0.74,-1.15
19370819,-0.91,-1.14,-2.17,-1.54,-0.86,-1.51
19370820,-1.62,-1.18,-0.94,-0.89,-0.91,-1.48
19370821,0.52,0.55,0.85,0.67,0.35,0.54
19370823,-0.54,-0.06,-0.46,-0.85,-0.49,-1.21
19370824,0.13,0.35,0.14,0.77,0.35,1.05
19370825,-0.48,-0.39,-0.68,-0.45,-0.36,-0.68
19370826,-1.61,-1.52,-2.55,-1.88,-1.6,-1.85
19370827,-1.38,-1.8,-1.89,-1.15,-1.46,-1.56
19370828,1.01,0.44,0.09,0.15,0.33,0.14
19370830,0.15,-0.26,1.07,0.89,0.77,1.02
19370831,0.25,0.34,0.26,-0.33,-0.09,-0.5
19370901,-2.05,-2.03,-3.33,-2.72,-1.88,-2.85
19370902,-2.08,-1.41,-1.49,-1.06,-1.19,-1.43
19370903,0.91,0.06,0.26,0.61,0.69,0.56
19370904,0.08,0.17,0.36,0.72,0.25,0.59
19370907,-7.22,-7.82,-8.92,-5.56,-4.4,-6.86
19370908,-4.13,-2.97,-2.05,-1.42,-0.87,-0.44
19370909,2.05,2.5,3.01,2.74,1.73,2.65
19370910,-6.26,-5.54,-8.65,-4.58,-4.36,-6.13
19370911,-0.22,-0.79,1.54,1.71,0.72,0.96
19370913,-2.7,-2.86,-3.6,-1.44,-1.15,-2.13
19370914,5.72,5.44,8.15,2.86,3.19,4.58
19370915,2.04,1.15,0.87,0.16,0.1,-0.02
19370916,1.1,1.89,1.41,2.08,1.29,1.76
19370917,-1.72,-1.02,-2.28,-1.65,-1.83,-2.32
19370918,-1.81,-2.17,-2.94,-2.2,-2.44,-3.54
19370920,-2.25,-2.32,-2.65,-0.81,-0.47,-1.75
19370921,-0.02,1.36,1.09,0.98,0.68,0.77
19370922,0.97,0.27,0.04,-0.03,0.35,0.48
19370923,-2.13,-2.23,-2.76,-2.3,-1.71,-2.77
19370924,-6.04,-6.37,-7.42,-4.32,-3.87,-5.23
19370925,-3.27,-2.43,-3.71,-0.52,-0.76,-1.12
19370927,2.51,3.38,3.79,4.09,2.96,3.92
19370928,3.64,2.54,3.66,0.81,1.27,1.79
19370929,0.34,0.58,-0.08,0.72,0.53,0.09
19370930,2.05,1.13,1.16,-0.13,-0.11,0.28
19371001,-0.42,0.22,0.17,-0.76,-0.42,-0.23
19371002,1.03,0.29,0.18,0.48,0.35,0.39
19371004,-1.15,-0.78,0.36,-1.07,-0.91,-1.15
19371005,-6.79,-6.08,-6.15,-5.5,-4.66,-5.88
19371006,0.15,0.32,1.16,1.24,1.86,2.54
19371007,1.36,1.8,0.93,0.92,-0.32,-0.36
19371008,-2.12,-3.18,-2.66,-3.84,-2.24,-1.94
19371009,-1.57,-0.62,-0.44,0.24,0.04,-0.08
19371011,-5.81,-5,-4.39,-3.61,-3.75,-3.92
19371013,-5.25,-3.82,-3.83,-2.1,-0.92,-0.39
19371014,-2.46,-1.86,-1,-0.6,-1.75,-1.33
19371015,-3.87,-2.96,-2.85,-1.54,-1.7,-1.07
19371016,-2.16,-1.25,-2.12,-0.29,0.37,-0.14
19371018,-11.49,-10.75,-8.78,-10.32,-8.55,-7.55
19371019,-6.08,-5.9,-3.77,-2.39,1.33,0.5
19371020,23.2,20.15,14.87,16.88,9.13,6.99
19371021,11.03,6.72,4.63,5.45,2.81,1.97
19371022,0.12,-0.73,0.53,-2.88,-2.18,-2.29
19371023,-6.31,-5.36,-4.04,-5.3,-4.7,-3.94
19371025,6.63,7.06,6.53,6.23,5.66,5
19371026,-0.88,-0.27,1.13,-1.1,-2.06,-0.9
19371027,-1.32,-0.42,-0.26,-2.08,-0.01,-0.32
19371028,5.56,4.71,5.45,5.05,2.8,1.99
19371029,5.08,4.39,2.68,2.91,2.83,2.3
19371030,1.1,0.36,0.76,0.57,-0.11,-0.05
19371101,-2.21,-2.16,-1.52,-2.59,-2.33,-1.78
19371103,-6.09,-5.47,-3.87,-5.88,-4.89,-3.52
19371104,-1.14,-1.27,-0.88,-0.69,-0.85,-0.7
19371105,0.58,1.09,1.17,-0.22,-0.09,0.3
19371106,-3.93,-3.21,-2.31,-4.09,-2.96,-2.24
19371108,-1.34,-1.65,-0.96,0.16,-0.08,-0.52
19371109,3.4,2.51,1.66,4.02,2.62,1.03
19371110,6.63,5.07,2.73,11.63,6.92,3.88
19371112,2.57,1.49,1.01,-0.13,-0.48,0.45
19371113,0.36,0.03,-0.9,0.84,0.28,0.04
19371115,-2.92,-1.88,-0.89,-3.96,-2.92,-2.31
19371116,-2.98,-1.87,-1,0.33,-1.1,-0.72
19371117,0.27,-0.08,0.17,-2.03,-0.8,-0.33
19371118,-2.77,-2.69,-1.62,-2.34,-2.6,-1.39
19371119,-9.19,-6.26,-3.08,-9.4,-6.92,-4.08
19371120,2.46,0.69,0.01,4.78,3.43,1.34
19371122,-3.98,-2.58,-1.78,-5.29,-5.16,-3.61
19371123,-0.07,-1.56,-1.62,2.83,1.75,-0.01
