"","Date","long","short","longshort"
"1","1926-07-01",1.0030670436858,1.13000911867427,-0.0465369094013393
"2","1926-07-02",0.990104810425303,1.13295962318677,-0.0488547313330023
"3","1926-07-06",0.966110610224108,1.12886103019137,-0.0566075242349759
"4","1926-07-07",0.953828342634929,1.12934334383965,-0.0546531380424728
"5","1926-07-08",0.945886052158644,1.13262121081645,-0.05704433507847
"6","1926-07-09",0.93127200712324,1.13757756788612,-0.0654257791282784
"7","1926-07-10",0.821241441197779,1.11931525113688,-0.14422655611697
"8","1926-07-12",0.763724066279111,1.09027635960015,-0.163839695189662
"9","1926-07-13",0.747347213702235,1.09066629514627,-0.170474216346275
"10","1926-07-14",0.718502923183873,1.05743417325731,-0.158920157062048
"11","1926-07-15",0.714226903157801,1.05877119059085,-0.16384351552614
"12","1926-07-16",0.699096714471668,1.0547200711773,-0.182240379985823
"13","1926-07-17",0.675485493307525,1.03514874036636,-0.196835308792804
"14","1926-07-19",0.688527105018746,0.997150816112761,-0.143422542252463
"15","1926-07-20",0.691071030380601,1.00076267472699,-0.138051509393976
"16","1926-07-21",0.744327276699819,1.00151480327762,-0.102557507534661
"17","1926-07-22",0.694408330945919,0.980495655174696,-0.125811653468996
"18","1926-07-23",0.865269606044398,1.01468545985294,-0.0240377822350054
"19","1926-07-24",0.857890606223865,1.01676898428029,-0.0244390930907273
"20","1926-07-26",0.828097611491949,1.0098519686167,-0.0381140541729927
"21","1926-07-27",0.752275886949847,0.979541757566293,-0.0801042639103735
"22","1926-07-28",0.734954247086926,1.0001716439836,-0.132957006344459
"23","1926-07-29",0.845738427619205,0.895279102813351,0.0513123240374939
"24","1926-07-30",0.808846778514338,0.867441081497661,0.0200241544105611
"25","1926-07-31",0.797310927871787,0.855050345502867,0.00821688109840501
"26","1926-08-02",0.772191675434076,0.871938504074344,-0.0298192787923152
"27","1926-08-03",0.810453768659213,0.778484478709657,0.0980771365549411
"28","1926-08-04",0.754651553491045,0.796882544316993,0.0448247844895472
"29","1926-08-05",0.72726286965192,0.785723323023552,0.0445665109267646
"30","1926-08-06",0.708155810510452,0.761221894036393,0.0460555783293079
"31","1926-08-07",0.77702136692515,0.817028032494497,0.0437192108889247
"32","1926-08-09",0.785979565980719,0.819539078785525,0.0691219171380119
"33","1926-08-10",0.770259930965184,0.811669457269408,0.0751398995590015
"34","1926-08-11",0.849371024625861,0.856114741011263,0.00761970251539599
"35","1926-08-12",0.808371862071744,0.871321804976321,-0.0307782475818092
"36","1926-08-13",0.757130229470896,0.951840021957222,-0.161170331099853
"37","1926-08-14",0.714409576640675,0.955219564953325,-0.198622365858416
"38","1926-08-16",0.741689283424201,0.922811368418273,-0.159177889141566
"39","1926-08-17",0.735928381107273,0.923381984674855,-0.160630027161547
"40","1926-08-18",0.771030472615238,0.932758560783231,-0.167498132329613
"41","1926-08-19",0.787050924138681,0.9563205839129,-0.175412152595251
"42","1926-08-20",0.803242064321076,0.953988677461811,-0.165632756915012
"43","1926-08-21",0.799595870137569,0.95641402413221,-0.160761617958953
"44","1926-08-23",0.831726998818613,0.975996550797204,-0.15518598021151
"45","1926-08-24",0.826462275753485,1.01729044807761,-0.18824060638099
"46","1926-08-25",0.809844341568554,1.09991858621555,-0.297745153575458
"47","1926-08-26",0.827658763873413,1.0749671580524,-0.254979431374799
"48","1926-08-27",0.919593965003496,1.11108197043735,-0.238000307338768
"49","1926-08-28",0.886047890755314,1.09844092478877,-0.242752696638238
"50","1926-08-30",0.88740933818481,1.08759814361183,-0.225482332917359
"51","1926-08-31",0.882900276779488,1.08912055330243,-0.220039403700475
"52","1926-09-01",0.78337966320805,1.09241306472852,-0.297745026224066
"53","1926-09-02",0.888965468758779,1.08766373311211,-0.222095732125954
"54","1926-09-03",0.884227350409619,1.09291494784866,-0.229032306774283
"55","1926-09-07",0.812470606239398,1.11558097561679,-0.300340938864793
"56","1926-09-08",0.775461207114928,1.0389316960951,-0.262153506269162
"57","1926-09-09",0.81893109444302,1.07939399137646,-0.276146085497699
"58","1926-09-10",0.804868469127673,1.07430930278982,-0.278365148526382
"59","1926-09-11",0.889732180803437,1.05287419630926,-0.207078827249185
"60","1926-09-13",0.834861329530857,1.05569874242489,-0.238584811849938
"61","1926-09-14",0.823955341570787,1.05613010286481,-0.239516402155132
"62","1926-09-15",0.762821832169974,1.05053086762487,-0.285494028823562
"63","1926-09-16",0.737932061983363,1.06255888448021,-0.313883080679629
"64","1926-09-17",0.760840608837603,1.07159047529828,-0.30471890171066
"65","1926-09-18",0.93861081704614,1.11409520889708,-0.21189476495687
"66","1926-09-20",0.893934559736283,1.14230252787682,-0.285531613743922
"67","1926-09-21",0.892697756026267,1.15651060555498,-0.292113759996195
"68","1926-09-22",0.868381901284651,1.1708377676099,-0.315418910251965
"69","1926-09-23",0.85917937198661,1.18171744429557,-0.323389857662598
"70","1926-09-24",0.841839614436619,1.17171077672631,-0.323812106908027
"71","1926-09-25",0.832628791650379,1.17117753375404,-0.332354732786366
"72","1926-09-27",0.818614049182483,1.16401071264791,-0.335148632365382
"73","1926-09-28",0.78530423381856,1.14668022669568,-0.344344201447465
"74","1926-09-29",0.784367989040554,1.14602382542278,-0.342972275734747
"75","1926-09-30",0.776489424945889,1.12399370063425,-0.323719110552549
"76","1926-10-01",0.77224419170216,1.10517011471628,-0.31117857686755
"77","1926-10-02",0.763696306596063,1.06575964794827,-0.290468585697795
"78","1926-10-04",0.776226204781937,1.07037304344636,-0.287462895485492
"79","1926-10-05",1.01692913635315,1.0741004208978,-0.122924984650276
