Date,long,short,longshort
1963-07-01,-0.00762,-0.00872,0.0011000000000000003
1963-07-02,0.00498,0.00743,-0.00245
1963-07-03,0.00473,0.007129999999999999,-0.0023999999999999994
1963-07-05,0.00283,0.00563,-0.0027999999999999995
1963-07-08,-0.00592,-0.00657,0.0006500000000000004
1963-07-09,0.005829999999999999,0.00578,4.999999999999883e-05
1963-07-10,-0.00107,-0.00012,-0.00095
1963-07-11,-0.0005699999999999999,-0.00127,0.0007000000000000002
1963-07-12,-0.00012,-0.00087,0.00075
1963-07-15,-0.00592,-0.004870000000000001,-0.0010499999999999989
1963-07-16,-0.0026199999999999995,-0.00142,-0.0011999999999999995
1963-07-17,-0.00357,-0.00427,0.0007000000000000005
1963-07-18,-0.0037199999999999998,-0.005719999999999999,0.0019999999999999996
1963-07-19,-0.00557,-0.00212,-0.0034500000000000004
1963-07-22,-0.00957,-0.008020000000000001,-0.0015499999999999993
1963-07-23,-0.00022,0.00058,-0.0008
1963-07-24,0.00378,0.00618,-0.0024
1963-07-25,0.0005799999999999999,-0.00057,0.00115
1963-07-26,0.0024300000000000003,0.0039299999999999995,-0.0014999999999999992
1963-07-29,-0.00022,7.999999999999998e-05,-0.0003
1963-07-30,0.00733,0.01038,-0.0030500000000000006
1963-07-31,0.00058,-0.0024200000000000003,0.003
1963-08-01,-0.0014100000000000002,-0.0005600000000000001,-0.0008500000000000002
1963-08-02,0.00274,0.0024400000000000003,0.0002999999999999995
1963-08-05,0.00559,0.00474,0.0008500000000000001
1963-08-06,0.0041400000000000005,0.004340000000000001,-0.00020000000000000052
1963-08-07,-0.0016100000000000003,-0.00296,0.0013499999999999996
1963-08-08,0.00079,0.0029900000000000005,-0.0022000000000000006
1963-08-09,0.00569,0.00599,-0.0002999999999999999
1963-08-12,0.00534,0.0018399999999999998,0.0035000000000000005
1963-08-13,0.00139,0.00179,-0.00039999999999999996
1963-08-14,0.004639999999999999,0.0038900000000000002,0.0007499999999999989
1963-08-15,0.00304,0.00289,0.00014999999999999996
1963-08-16,0.00074,0.00259,-0.0018499999999999999
1963-08-19,-0.00196,-0.00201,5.000000000000013e-05
1963-08-20,-0.00010999999999999999,-0.00111,0.001
1963-08-21,0.0012399999999999998,0.0003399999999999999,0.0008999999999999999
1963-08-22,0.00509,0.007839999999999998,-0.002749999999999998
1963-08-23,0.0035400000000000006,0.0037900000000000004,-0.0002499999999999998
1963-08-26,0.00029,0.00254,-0.0022500000000000003
1963-08-27,-0.00466,-0.005660000000000001,0.0010000000000000009
1963-08-28,0.00939,0.00719,0.0022000000000000006
1963-08-29,0.00314,0.0026900000000000006,0.00044999999999999945
1963-08-30,0.0035900000000000003,0.00564,-0.0020499999999999997
1963-09-03,0.00441,0.00271,0.0016999999999999997
1963-09-04,0.00056,0.0006099999999999999,-4.9999999999999914e-05
1963-09-05,0.00416,0.00426,-0.00010000000000000026
1963-09-06,-0.00269,-0.00299,0.0002999999999999999
1963-09-09,-0.0033900000000000002,-0.004540000000000001,0.0011500000000000004
1963-09-10,0.00501,0.00671,-0.0017000000000000001
1963-09-11,0.0038100000000000005,0.00031000000000000005,0.0035000000000000005
1963-09-12,-0.00254,-0.0003399999999999999,-0.0022
1963-09-13,0.0030600000000000002,0.00221,0.0008500000000000001
1963-09-16,-0.0025399999999999997,-0.00059,-0.0019499999999999997
1963-09-17,-0.00044000000000000007,-0.00018999999999999993,-0.0002500000000000001
1963-09-18,-0.006390000000000001,-0.00489,-0.0015000000000000005
1963-09-19,0.0047599999999999995,0.004809999999999999,-4.99999999999997e-05
1963-09-20,-0.00094,0.00276,-0.0036999999999999997
1963-09-23,-0.00519,-0.00654,0.0013499999999999996
1963-09-24,0.00231,0.0014100000000000002,0.0008999999999999998
1963-09-25,-0.0071400000000000005,-0.007540000000000001,0.0004000000000000002
1963-09-26,-0.005940000000000001,-0.00804,0.0020999999999999994
1963-09-27,-0.00054,-0.00124,0.0007
1963-09-30,-0.00654,-0.007690000000000001,0.0011500000000000008
1963-10-01,0.00412,0.00637,-0.0022499999999999994
1963-10-02,0.0003700000000000001,0.0007200000000000002,-0.00035000000000000005
1963-10-03,0.00957,0.007720000000000001,0.0018499999999999992
1963-10-04,0.00107,-0.00013,0.0012
1963-10-07,-0.00053,-0.00023000000000000003,-0.0002999999999999999
1963-10-08,-0.00047999999999999996,0.00072,-0.0012000000000000001
1963-10-09,-0.00608,-0.00788,0.0017999999999999995
1963-10-10,0.00067,0.0006700000000000001,-1.0842021724855044e-19
1963-10-11,0.00387,0.00302,0.0008500000000000001
1963-10-14,-0.00047999999999999996,0.0009699999999999998,-0.00145
1963-10-15,-0.0002800000000000001,-0.00018,-0.00010000000000000007
1963-10-16,0.006370000000000001,0.01077,-0.004399999999999999
1963-10-17,0.0025700000000000002,0.0009699999999999998,0.0016000000000000003
1963-10-18,0.00117,0.00247,-0.0013
1963-10-21,0.00026999999999999995,-0.0011799999999999998,0.00145
1963-10-22,-0.00763,-0.0039299999999999995,-0.0037
1963-10-23,6.999999999999989e-05,0.0004199999999999999,-0.00035000000000000005
1963-10-24,0.00397,0.00462,-0.0006500000000000004
1963-10-25,0.00467,0.01322,-0.008550000000000002
1963-10-28,-0.0017300000000000002,0.0031700000000000005,-0.004900000000000001
1963-10-29,0.00122,-0.0023799999999999997,0.0036
1963-10-30,-0.00498,-0.00898,0.004
1963-10-31,0.0004199999999999999,0.00312,-0.0027
1963-11-01,-0.00105,-0.0024999999999999996,0.0014499999999999997
1963-11-04,-0.0037999999999999996,-0.00635,0.00255
